#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CPTY_A,2016-02-05,0.000000,356.44,0.00,356.44,-356.44,356.44,356.44
CPTY_A,2016-05-06,0.248634,131568.12,154466.04,581519.00,0.00,132233.40,132233.40
CPTY_A,2016-08-05,0.497268,213253.45,264455.29,821600.88,0.00,215410.12,215410.12
CPTY_A,2016-11-07,0.754098,295970.27,243245.95,1348716.75,0.00,300509.44,300509.44
CPTY_A,2017-02-06,1.003002,337483.59,300452.66,1471438.25,0.00,344365.97,344365.97
CPTY_A,2017-05-05,1.244098,330250.41,396547.15,1422729.88,0.00,338632.05,344365.97
CPTY_A,2017-08-07,1.501632,396994.30,458724.02,1563601.00,0.00,409185.71,409185.71
CPTY_A,2017-11-06,1.750947,458606.52,436831.40,1700521.00,0.00,475055.98,475055.98
CPTY_A,2018-02-05,2.000262,440563.27,432569.76,1693563.88,0.00,458638.46,475055.98
CPTY_A,2018-05-08,2.252317,409973.65,488057.37,1730084.00,0.00,428958.04,475055.98
CPTY_A,2018-08-06,2.498892,372203.01,462163.77,1330421.00,0.00,391370.76,475055.98
CPTY_A,2018-11-05,2.748207,456840.79,431174.96,1694853.38,0.00,482777.35,482777.35
CPTY_A,2019-02-05,3.000262,529315.90,463091.73,2234510.00,0.00,562204.55,562204.55
CPTY_A,2019-05-07,3.249577,465934.91,506162.10,1922808.38,0.00,497368.58,562204.55
CPTY_A,2019-08-05,3.496152,510156.57,537462.62,1894005.62,0.00,547275.98,562204.55
CPTY_A,2019-11-05,3.748207,555456.90,468265.70,2176936.75,0.00,598895.23,598895.23
CPTY_A,2020-02-05,4.000000,581280.36,500688.20,2423382.75,0.00,629917.57,629917.57
CPTY_A,2020-05-05,4.245902,511846.79,547577.09,2041163.62,0.00,557426.75,629917.57
CPTY_A,2020-08-05,4.497268,560750.30,576317.38,2468920.75,0.00,613783.00,629917.57
CPTY_A,2020-11-05,4.748634,510054.04,465992.90,1989413.25,0.00,561124.28,629917.57
CPTY_A,2021-02-05,5.000262,468205.31,445130.54,1722850.62,0.00,517698.28,629917.57
CPTY_A,2021-05-05,5.244098,435256.25,489248.62,1604750.88,0.00,483627.81,629917.57
CPTY_A,2021-08-05,5.496152,359850.38,459874.60,1313676.12,0.00,401870.14,629917.57
CPTY_A,2021-11-05,5.748207,376979.42,411265.71,1284211.25,0.00,423134.99,629917.57
CPTY_A,2022-02-07,6.005741,375891.00,427315.92,1292422.00,0.00,424100.23,629917.57
CPTY_A,2022-05-05,6.244098,371710.93,490767.13,1635089.38,0.00,421395.61,629917.57
CPTY_A,2022-08-05,6.496152,377429.56,492930.53,1447171.62,0.00,430049.16,629917.57
CPTY_A,2022-11-07,6.753687,425534.92,449693.01,1689122.25,0.00,487374.38,629917.57
CPTY_A,2023-02-06,7.003002,446853.23,469174.62,1837554.75,0.00,514358.62,629917.57
CPTY_A,2023-05-05,7.244098,392883.15,491786.54,1771238.12,0.00,454429.49,629917.57
CPTY_A,2023-08-07,7.501632,430376.91,516378.17,1698880.38,0.00,500377.02,629917.57
CPTY_A,2023-11-06,7.750947,446946.33,451015.97,1841641.88,0.00,522248.75,629917.57
CPTY_A,2024-02-05,8.000000,461679.05,468726.16,1438065.25,0.00,542170.44,629917.57
CPTY_A,2024-05-07,8.251366,400048.19,491265.77,1503355.12,0.00,472177.61,629917.57
CPTY_A,2024-08-05,8.497268,422156.66,514300.94,1562630.12,0.00,500744.69,629917.57
CPTY_A,2024-11-05,8.748634,460229.11,458915.72,1539125.88,0.00,548673.76,629917.57
CPTY_A,2025-02-05,9.000262,492716.43,476037.55,1567206.88,0.00,590383.96,629917.57
CPTY_A,2025-05-06,9.246837,442273.71,506459.50,1812627.88,0.00,532572.12,629917.57
CPTY_A,2025-08-05,9.496152,457916.17,524366.72,2072046.25,0.00,554175.06,629917.57
CPTY_A,2025-11-05,9.748207,443886.98,444971.84,2432653.00,0.00,539921.95,629917.57
CPTY_A,2026-02-05,10.000262,465743.62,461945.55,2906915.75,0.00,569381.14,629917.57
CPTY_A,2026-05-05,10.244098,415562.37,489932.77,2230222.50,0.00,510526.45,629917.57
CPTY_A,2026-08-05,10.496152,426168.96,499035.40,2320050.50,0.00,526212.75,629917.57
CPTY_A,2026-11-05,10.748207,411529.23,419363.59,2189841.75,0.00,510714.00,629917.57
