#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE
Swap_20y,2016-02-05,0.000000,356,0,0,0,356,356,356
Swap_20y,2016-05-06,0.248634,131568,154466,0,0,581519,132233,132233
Swap_20y,2016-08-05,0.497268,213253,264455,0,0,821601,215410,215410
Swap_20y,2016-11-07,0.754098,295970,243246,0,0,1348717,300509,300509
Swap_20y,2017-02-06,1.003002,337484,300453,0,0,1471438,344366,344366
Swap_20y,2017-05-05,1.244098,330250,396547,0,0,1422730,338632,344366
Swap_20y,2017-08-07,1.501632,396994,458724,0,0,1563601,409186,409186
Swap_20y,2017-11-06,1.750947,458607,436831,0,0,1700521,475056,475056
Swap_20y,2018-02-05,2.000262,440563,432570,0,0,1693564,458638,475056
Swap_20y,2018-05-08,2.252317,409974,488057,0,0,1730084,428958,475056
Swap_20y,2018-08-06,2.498892,372203,462164,0,0,1330421,391371,475056
Swap_20y,2018-11-05,2.748207,456841,431175,0,0,1694853,482777,482777
Swap_20y,2019-02-05,3.000262,529316,463092,0,0,2234510,562205,562205
Swap_20y,2019-05-07,3.249577,465935,506162,0,0,1922808,497369,562205
Swap_20y,2019-08-05,3.496152,510157,537463,0,0,1894006,547276,562205
Swap_20y,2019-11-05,3.748207,555457,468266,0,0,2176937,598895,598895
Swap_20y,2020-02-05,4.000000,581280,500688,0,0,2423383,629918,629918
Swap_20y,2020-05-05,4.245902,511847,547577,0,0,2041164,557427,629918
Swap_20y,2020-08-05,4.497268,560750,576317,0,0,2468921,613783,629918
Swap_20y,2020-11-05,4.748634,510054,465993,0,0,1989413,561124,629918
Swap_20y,2021-02-05,5.000262,468205,445131,0,0,1722851,517698,629918
Swap_20y,2021-05-05,5.244098,435256,489249,0,0,1604751,483628,629918
Swap_20y,2021-08-05,5.496152,359850,459875,0,0,1313676,401870,629918
Swap_20y,2021-11-05,5.748207,376979,411266,0,0,1284211,423135,629918
Swap_20y,2022-02-07,6.005741,375891,427316,0,0,1292422,424100,629918
Swap_20y,2022-05-05,6.244098,371711,490767,0,0,1635089,421396,629918
Swap_20y,2022-08-05,6.496152,377430,492931,0,0,1447172,430049,629918
Swap_20y,2022-11-07,6.753687,425535,449693,0,0,1689122,487374,629918
Swap_20y,2023-02-06,7.003002,446853,469175,0,0,1837555,514359,629918
Swap_20y,2023-05-05,7.244098,392883,491787,0,0,1771238,454429,629918
Swap_20y,2023-08-07,7.501632,430377,516378,0,0,1698880,500377,629918
Swap_20y,2023-11-06,7.750947,446946,451016,0,0,1841642,522249,629918
Swap_20y,2024-02-05,8.000000,461679,468726,0,0,1438065,542170,629918
Swap_20y,2024-05-07,8.251366,400048,491266,0,0,1503355,472178,629918
Swap_20y,2024-08-05,8.497268,422157,514301,0,0,1562630,500745,629918
Swap_20y,2024-11-05,8.748634,460229,458916,0,0,1539126,548674,629918
Swap_20y,2025-02-05,9.000262,492716,476038,0,0,1567207,590384,629918
Swap_20y,2025-05-06,9.246837,442274,506459,0,0,1812628,532572,629918
Swap_20y,2025-08-05,9.496152,457916,524367,0,0,2072046,554175,629918
Swap_20y,2025-11-05,9.748207,443887,444972,0,0,2432653,539922,629918
Swap_20y,2026-02-05,10.000262,465744,461946,0,0,2906916,569381,629918
Swap_20y,2026-05-05,10.244098,415562,489933,0,0,2230222,510526,629918
Swap_20y,2026-08-05,10.496152,426169,499035,0,0,2320050,526213,629918
Swap_20y,2026-11-05,10.748207,411529,419364,0,0,2189842,510714,629918
Swap_20y,2027-02-05,11.000262,442050,444229,0,0,2349904,551373,629918
Swap_20y,2027-05-05,11.244098,378280,456445,0,0,1697772,474147,629918
Swap_20y,2027-08-05,11.496152,377610,463652,0,0,1497460,475710,629918
Swap_20y,2027-11-05,11.748207,399181,398516,0,0,2032342,505434,629918
Swap_20y,2028-02-07,12.005464,400130,404198,0,0,1818888,509262,629918
Swap_20y,2028-05-05,12.245902,328802,410394,0,0,1554890,420510,629918
Swap_20y,2028-08-07,12.502732,340946,418202,0,0,1943876,438302,629918
Swap_20y,2028-11-06,12.751366,391169,359801,0,0,2313429,505390,629918
Swap_20y,2029-02-05,13.000262,438721,371606,0,0,2660151,569670,629918
Swap_20y,2029-05-08,13.252317,394121,383357,0,0,2468650,514354,629918
Swap_20y,2029-08-06,13.498892,385296,380700,0,0,2842152,505332,629918
Swap_20y,2029-11-05,13.748207,412474,316668,0,0,2055475,543692,629918
Swap_20y,2030-02-05,14.000262,386859,312262,0,0,1976745,512515,629918
Swap_20y,2030-05-07,14.249577,300724,317277,0,0,1984438,400401,629918
Swap_20y,2030-08-05,14.496152,279085,308598,0,0,1829075,373433,629918
Swap_20y,2030-11-05,14.748207,305700,252782,0,0,1811301,411121,629918
Swap_20y,2031-02-05,15.000262,291945,255772,0,0,1808974,394614,629918
Swap_20y,2031-05-06,15.246837,204142,267010,0,0,1489109,277302,629918
Swap_20y,2031-08-05,15.496152,197769,265275,0,0,1634121,269994,629918
Swap_20y,2031-11-05,15.748207,222050,210563,0,0,1600623,304679,629918
Swap_20y,2032-02-05,16.000000,212732,209066,0,0,1542019,293374,629918
Swap_20y,2032-05-05,16.245902,156525,221799,0,0,1238390,216933,629918
Swap_20y,2032-08-05,16.497268,156507,222696,0,0,1175567,218007,629918
Swap_20y,2032-11-05,16.748634,185071,161319,0,0,1273909,259104,629918
Swap_20y,2033-02-07,17.005741,183172,167515,0,0,1067509,257774,629918
Swap_20y,2033-05-05,17.244098,121996,177503,0,0,665060,172506,629918
Swap_20y,2033-08-05,17.496152,124245,177081,0,0,542087,176577,629918
Swap_20y,2033-11-07,17.753687,128296,112675,0,0,629187,183280,629918
Swap_20y,2034-02-06,18.003002,135450,113103,0,0,689377,194470,629918
Swap_20y,2034-05-05,18.244098,78280,116438,0,0,508856,112935,629918
Swap_20y,2034-08-07,18.501632,80425,119059,0,0,501460,116630,629918
Swap_20y,2034-11-06,18.750947,102180,57297,0,0,528870,148923,629918
Swap_20y,2035-02-05,19.000262,97868,58250,0,0,450752,143353,629918
Swap_20y,2035-05-08,19.252317,40462,61748,0,0,225868,59568,629918
Swap_20y,2035-08-06,19.498892,40565,62086,0,0,210439,60017,629918
Swap_20y,2035-11-05,19.748207,62244,6484,0,0,221422,92553,629918
Swap_20y,2036-02-05,20.000000,62355,6408,0,0,232547,93188,629918
Swap_20y,2036-05-06,20.248634,0,0,0,0,0,0,629918
