#TradeId,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,Notional,Notional(Base),NettingSet,CounterParty
Swaption_1_19,Swaption,2017-03-01,1.066015,317120.480838,EUR,317120.480838,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_2_18,Swaption,2018-03-01,2.066015,412755.076213,EUR,412755.076213,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_3_17,Swaption,2019-03-01,3.066015,469884.335146,EUR,469884.335146,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_4_16,Swaption,2020-03-01,4.068306,504265.372307,EUR,504265.372307,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_5_15,Swaption,2021-03-01,5.066015,522050.999473,EUR,522050.999473,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_6_14,Swaption,2022-03-01,6.066015,527641.050491,EUR,527641.050491,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_7_13,Swaption,2023-03-01,7.066015,523334.790599,EUR,523334.790599,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_8_12,Swaption,2024-03-01,8.068306,511062.892771,EUR,511062.892771,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_9_11,Swaption,2025-03-01,9.066015,491231.763138,EUR,491231.763138,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_10_10,Swaption,2026-03-01,10.066015,465810.823171,EUR,465810.823171,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_11_9,Swaption,2027-03-01,11.066015,435225.677132,EUR,435225.677132,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_12_8,Swaption,2028-03-01,12.068306,400131.468988,EUR,400131.468988,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_13_7,Swaption,2029-03-01,13.066015,360612.544790,EUR,360612.544790,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_14_6,Swaption,2030-03-01,14.066015,317437.380159,EUR,317437.380159,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_15_5,Swaption,2031-03-01,15.066015,270671.509228,EUR,270671.509228,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_16_4,Swaption,2032-03-01,16.068306,221827.005787,EUR,221827.005787,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_17_3,Swaption,2033-03-01,17.066015,169788.746778,EUR,169788.746778,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_18_2,Swaption,2034-03-01,18.066015,115347.225358,EUR,115347.225358,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_19_1,Swaption,2035-03-01,19.066015,58730.627555,EUR,58730.627555,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
