#TradeId,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,Notional,Notional(Base),NettingSet,CounterParty
Swaption_1_19,Swaption,2036-03-03,20.073770,788394.510715,EUR,788394.510715,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_2_18,Swaption,2036-03-03,20.073770,1009169.655394,EUR,1009169.655394,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_3_17,Swaption,2036-03-03,20.073770,1168782.708070,EUR,1168782.708070,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_4_16,Swaption,2036-03-03,20.073770,1262087.369913,EUR,1262087.369913,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_5_15,Swaption,2036-03-03,20.073770,1318769.787243,EUR,1318769.787243,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_6_14,Swaption,2036-03-03,20.073770,1336321.010675,EUR,1336321.010675,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_7_13,Swaption,2036-03-03,20.073770,1334340.382916,EUR,1334340.382916,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_8_12,Swaption,2036-03-03,20.073770,1285649.849036,EUR,1285649.849036,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_9_11,Swaption,2036-03-03,20.073770,1227359.249394,EUR,1227359.249394,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_10_10,Swaption,2036-03-03,20.073770,1161510.528506,EUR,1161510.528506,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_11_9,Swaption,2036-03-03,20.073770,1077172.042601,EUR,1077172.042601,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_12_8,Swaption,2036-03-03,20.073770,984941.148728,EUR,984941.148728,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_13_7,Swaption,2036-03-03,20.073770,879049.594979,EUR,879049.594979,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_14_6,Swaption,2036-03-03,20.073770,752436.555432,EUR,752436.555432,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_15_5,Swaption,2036-03-03,20.073770,623058.424683,EUR,623058.424683,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_16_4,Swaption,2036-03-03,20.073770,517363.452073,EUR,517363.452073,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_17_3,Swaption,2036-03-03,20.073770,393063.916258,EUR,393063.916258,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_18_2,Swaption,2036-03-03,20.073770,264306.881794,EUR,264306.881794,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
Swaption_19_1,Swaption,2036-03-03,20.073770,131097.940918,EUR,131097.940918,EUR,10000000.00,10000000.00,CPTY_A,CPTY_A
